name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,
Block,-50,24.5,0,0.1,50,100,0,0,0,Wall,
Block,50,24.5,0,0.1,50,100,0,0,0,Wall,
Block,0,24.5,50,100,50,0.1,0,0,0,Wall,
Block,-39.25,2,-19,1.5,5,0.25,0,0,0,Wall,
Block,-10.75,2,31,1.5,5,0.25,0,0,0,Wall,
Block,9.875,9.5,35.875,9.999998,10,0.25,0,90,0,Wall,
Block,-16.25,7,40.75,12.5,15,0.25,0,0,0,Wall,
Block,40.125,2,35.875,9.999998,5,0.25,0,90,0,Wall,
Block,22.25,7,35.875,0.5,15,9.5,0,0,0,Wall,
Block,-15.75,2,-19,1.5,5,0.25,0,0,0,Wall,
Block,33.75,7,40.75,12.5,15,0.25,0,0,0,Wall,
Block,34.25,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-33.75,7,9.25,12.5,15,0.25,0,0,0,Wall,
Block,-40.125,9.5,-14.125,9.999998,10,0.25,0,90,0,Wall,
Block,-34.25,2,19,1.5,5,0.25,0,0,0,Wall,
Block,-21.25,2,19,2.5,5,0.25,0,0,0,Wall,
Block,25,9.5,40.75,5,10,0.25,0,0,0,Wall,
Block,-21.25,2,31,2.5,5,0.25,0,0,0,Wall,
Block,-27.75,7,14.125,0.5,15,9.5,0,0,0,Wall,
Block,16.25,7,40.75,12.5,15,0.25,0,0,0,Wall,
Block,28.75,2,31,2.5,5,0.25,0,0,0,Wall,
Block,-9.875,2,35.875,9.999998,5,0.25,0,90,0,Wall,
Block,-10.75,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-25,9.5,9.25,5,10,0.25,0,0,0,Wall,
Block,-22.25,7,35.875,0.5,15,9.5,0,0,0,Wall,
Block,9.875,2,35.875,9.999998,5,0.25,0,90,0,Wall,
Block,-10.75,2,19,1.5,5,0.25,0,0,0,Wall,
Block,15.75,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-25,9.5,31,30,10,0.25,0,0,0,Wall,
Block,-15.75,2,31,1.5,5,0.25,0,0,0,Wall,
Block,10.75,2,31,1.5,5,0.25,0,0,0,Wall,
Block,27.75,7,35.875,0.5,15,9.5,0,0,0,Wall,
HideItem,0,-0.25,0,1,1,1,0,0,0,,
OwnArea,50,0,-50,1,1,1,0,0,0,20,West
OwnArea,-50,0,50,1,1,1,0,0,0,20,East
PlayerSpawnPoint,40,1,-45,1,1,1,0,270,0,West,2
PlayerSpawnPoint,45,1,-40,1,1,1,0,0,0,West,1
PlayerSpawnPoint,-40,1,45,1,1,1,0,90,0,East,5
PlayerSpawnPoint,-45,1,40,1,1,1,0,180,0,East,4
PlayerSpawnPoint,45,1,-45,1,1,1,0,315,0,West,0
PlayerSpawnPoint,-45,1,45,1,1,1,0,135,0,East,3
Rack,-40.8,-0.4,34.3,1,1,1,0,90,0,,
Rack,40.8,-0.4,34.3,1,1,1,0,-90,0,,
Rack,-9,-0.4,34.3,1,1,1,0,-90,0,,
Rack,-40.8,-0.4,15.7,1,1,1,0,90,0,,
Rack,9,-0.4,34.3,1,1,1,0,90,0,,
Rack,-40.8,-0.4,-34.3,1,1,1,0,90,0,,
Rack,-9,-0.4,-15.7,1,1,1,0,-90,0,,
Rack,-9,-0.4,15.7,1,1,1,0,-90,0,,
Rack,-40.8,-0.4,-15.7,1,1,1,0,90,0,,
Goal,40,0,-14,1,1,1,0,0,0,,
Goal,-40,0,14,1,1,1,0,180,0,,
