name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,
Container,-27.98017,-0.3003223,-37.59683,1,1,1,0,0,0,Blue,
Container,0,-0.3003227,0,1,1,1,0,0,0,Yellow,
Container,45.5,-0.25,-2,1,1,1,0,90,0,Yellow,
Container,-45.5,-0.25,-2,1,1,1,0,90,0,Yellow,
Container,4.25,-0.3003225,67.51983,1,1,1,0,90,0,Red,
Container,23.39842,-0.3003224,67.72742,1,1,1,0,90,0,Red,
Container,39.39841,-0.2500001,0,1,1,1,0,0,0,Yellow,
Goal,0,0,-80.25,1,1,1,0,0,0,Blue,
Goal,0,0,80.25,1,1,1,0,0,0,Red,
HideItem,0,-50.25,5.3,1,1,1,0,0,0,,
OwnAreaObject,0,-0.499,-87.5,40,0.4,25,0,0,0,Blue,
OwnAreaObject,0,-0.499,87.5,40,0.4,25,0,0,0,Red,
PlayerSpawnPoint,8.25,0.3,95.25,1,1,1,0,180,0,Red,5
PlayerSpawnPoint,0,0.3,95.25,1,1,1,0,180,0,Red,4
PlayerSpawnPoint,-8.25,0.3,95.25,1,1,1,0,180,0,Red,3
PlayerSpawnPoint,-8.25,0.3,-95.25,1,1,1,0,0,0,Blue,0
PlayerSpawnPoint,0,0.3,-95.25,1,1,1,0,0,0,Blue,1
PlayerSpawnPoint,8.25,0.3,-95.25,1,1,1,0,0,0,Blue,2
Rack,33.16,-0.4,-11.6,0.5,0.5,0.5,0,-180,0,,
Rack,0.5,-0.4,18.8,0.5000001,0.5,0.5000001,0,-180,0,,
Rack,-32,-0.4,46.19,0.5000002,0.5,0.5000002,0,-90,0,,
Rack,-36.17,-0.4,-19.5,0.5000001,0.5,0.5000001,0,-180,0,,
Rack,5.3,-0.4,-11.6,0.5,0.5,0.5,0,-180,0,,
Rack,0.5,-0.4,-18.8,0.5000001,0.5,0.5000001,0,-180,0,,
Rack,5.8,-0.4,11.6,0.5,0.5,0.5,0,-180,0,,
Rack,-36.17,-0.4,19.5,0.5000001,0.5,0.5000001,0,-180,0,,
Rack,-32,-0.4,-46.19,0.5000002,0.5,0.5000002,0,-90,0,,
Rack,-6.9,-0.4,-11.6,0.5,0.5,0.5,0,-180,0,,
Rack,-6.9,-0.4,11.6,0.5,0.5,0.5,0,-180,0,,
Rack,-32,-0.4,-38.5,0.5000002,0.5,0.5000002,0,-90,0,,
Rack,32.99,-0.4,12.33,0.5,0.5,0.5,0,-180,0,,
Rack,-32,-0.4,38.5,0.5000002,0.5,0.5000002,0,-90,0,,
